method,date,checkpoint,symbol,r_rank,r_factor,RS_sector,RS_market,direction,hit_2pct,max_up_pct,max_down_pct,open_0915,tv_link
S2_market_filter,2025-06-18,09:25,DMART,3.0,6.778141555108771,,0.003576152832726496,up,True,0.033591731266149914,0.005167958656330705,4102.2,https://www.tradingview.com/chart/?symbol=NSE:DMART
S2_market_filter,2025-06-18,09:45,DMART,3.0,7.352217743497028,,0.005234290343744779,up,True,0.033591731266149914,0.005167958656330705,4102.2,https://www.tradingview.com/chart/?symbol=NSE:DMART
S2_market_filter,2025-06-18,10:00,DMART,4.0,6.035101863048988,,0.006591920405701793,up,True,0.033591731266149914,0.005167958656330705,4102.2,https://www.tradingview.com/chart/?symbol=NSE:DMART
S2_market_filter,2025-06-18,10:15,DMART,4.0,5.986070963978615,,0.008082761531165198,up,True,0.033591731266149914,0.005167958656330705,4102.2,https://www.tradingview.com/chart/?symbol=NSE:DMART
S2_market_filter,2025-06-18,10:30,KEI,2.0,9.297833125706633,,0.0015778721175901925,up,True,0.02063602277461469,0.0069157061519233695,3600.5,https://www.tradingview.com/chart/?symbol=NSE:KEI
S2_market_filter,2025-06-18,10:45,KEI,2.0,8.503095254792704,,0.002209600520500585,up,True,0.02063602277461469,0.0069157061519233695,3600.5,https://www.tradingview.com/chart/?symbol=NSE:KEI
S2_market_filter,2025-06-18,11:00,KEI,2.0,8.121110001467253,,0.0023419359687939676,up,True,0.02063602277461469,0.0069157061519233695,3600.5,https://www.tradingview.com/chart/?symbol=NSE:KEI
S2_market_filter,2025-06-18,11:15,KEI,2.0,7.763961715444703,,0.0032370432674046793,up,True,0.02063602277461469,0.0069157061519233695,3600.5,https://www.tradingview.com/chart/?symbol=NSE:KEI
S2_market_filter,2025-06-18,11:30,KEI,2.0,7.3964882034871975,,0.003786491871773248,up,True,0.02063602277461469,0.0069157061519233695,3600.5,https://www.tradingview.com/chart/?symbol=NSE:KEI
S2_market_filter,2025-06-19,09:25,AMBER,4.0,2.3815434324329647,0.006331572889730417,0.008017738026476949,up,True,0.019049753473778575,0.043478260869565216,6693.0,https://www.tradingview.com/chart/?symbol=NSE:AMBER
S2_market_filter,2025-06-19,09:45,AMBER,1.0,3.3685814930226257,0.010493052092264343,0.009446846780209418,up,True,0.019049753473778575,0.043478260869565216,6693.0,https://www.tradingview.com/chart/?symbol=NSE:AMBER
S2_market_filter,2025-06-19,10:00,KEI,1.0,5.079317244065257,,0.0011087614340208759,down,False,0.01451010973096416,0.006489166156074118,3590.6,https://www.tradingview.com/chart/?symbol=NSE:KEI
S2_market_filter,2025-06-19,10:15,KEI,1.0,4.695644022420919,,0.00023419399301359081,down,False,0.01451010973096416,0.006489166156074118,3590.6,https://www.tradingview.com/chart/?symbol=NSE:KEI
S2_market_filter,2025-06-19,10:30,AMBER,4.0,3.139383508124594,0.010493052092264343,0.00271215963356402,down,True,0.019049753473778575,0.043478260869565216,6693.0,https://www.tradingview.com/chart/?symbol=NSE:AMBER
S2_market_filter,2025-06-19,10:45,BIOCON,3.0,3.283732875310335,0.02456452111399333,0.010560017109084567,up,True,0.023177842565597635,0.0,343.0,https://www.tradingview.com/chart/?symbol=NSE:BIOCON
S2_market_filter,2025-06-19,11:00,BIOCON,3.0,3.2408519443054358,0.02456452111399333,0.01153791918064393,up,True,0.023177842565597635,0.0,343.0,https://www.tradingview.com/chart/?symbol=NSE:BIOCON
S2_market_filter,2025-06-19,11:15,SWIGGY,3.0,3.248875983251169,0.06429559908350048,0.033185178956246,up,True,0.05609655739953364,0.006720614456178819,364.55,https://www.tradingview.com/chart/?symbol=NSE:SWIGGY
S2_market_filter,2025-06-19,11:30,KEI,2.0,3.8402273864631553,,0.00026262281709393034,up,False,0.01451010973096416,0.006489166156074118,3590.6,https://www.tradingview.com/chart/?symbol=NSE:KEI
S2_market_filter,2025-06-20,09:25,PFC,1.0,11.58767530718738,0.011595773924446948,0.009585603217029505,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S2_market_filter,2025-06-20,09:45,PFC,1.0,12.020200580029487,0.022414333642847322,0.015615444576734885,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S2_market_filter,2025-06-20,10:00,PFC,1.0,12.478596693892442,0.027714487399711833,0.019015024180002286,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S2_market_filter,2025-06-20,10:15,PFC,1.0,12.40685907973372,0.02852812771347614,0.020876804928811735,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S2_market_filter,2025-06-20,10:30,PFC,1.0,12.182031351721182,0.02852812771347614,0.0220214802841484,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S2_market_filter,2025-06-20,10:45,PFC,1.0,11.545406916985268,0.02852812771347614,0.02252655869694827,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S2_market_filter,2025-06-20,11:00,PFC,1.0,11.304427534210879,0.02852812771347614,0.022340586952187644,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S2_market_filter,2025-06-20,11:15,PFC,1.0,11.31803939278839,0.02852812771347614,0.022810060503350892,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S2_market_filter,2025-06-20,11:30,PFC,1.0,11.22798854872418,0.029024692063369245,0.02354419156877765,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S2_market_filter,2025-06-23,09:25,BEL,3.0,3.641621362537537,0.00920519345086485,0.00987969571143342,up,True,0.02773722627737221,0.0047445255474452275,411.0,https://www.tradingview.com/chart/?symbol=NSE:BEL
S2_market_filter,2025-06-23,09:45,BHARATFORG,3.0,4.724552489165795,0.018077903126790227,0.012553017170812595,up,True,0.023449141243824086,0.0,1275.1,https://www.tradingview.com/chart/?symbol=NSE:BHARATFORG
