method,date,checkpoint,symbol,r_rank,r_factor,RS_sector,RS_market,direction,hit_2pct,max_up_pct,max_down_pct,open_0915,tv_link
S3_both_filter,2025-06-18,09:25,DMART,3.0,6.778141555108771,,0.003576152832726496,up,True,0.033591731266149914,0.005167958656330705,4102.2,https://www.tradingview.com/chart/?symbol=NSE:DMART
S3_both_filter,2025-06-18,09:45,VOLTAS,4.0,4.8454902212740425,0.007742413110866278,0.007271390884747127,up,False,0.01960938730508749,0.006536462435029103,1269.8,https://www.tradingview.com/chart/?symbol=NSE:VOLTAS
S3_both_filter,2025-06-18,10:00,VOLTAS,5.0,3.8777661371088428,0.007742413110866278,0.006934419744477489,up,False,0.01960938730508749,0.006536462435029103,1269.8,https://www.tradingview.com/chart/?symbol=NSE:VOLTAS
S3_both_filter,2025-06-18,10:15,VOLTAS,5.0,3.38064024094216,0.007742413110866278,0.005802539079519946,up,False,0.01960938730508749,0.006536462435029103,1269.8,https://www.tradingview.com/chart/?symbol=NSE:VOLTAS
S3_both_filter,2025-06-18,10:30,EICHERMOT,5.0,3.201682913421398,0.009837567607998525,0.01336880094512306,up,True,0.024184476940382452,0.004968128983877015,5334.0,https://www.tradingview.com/chart/?symbol=NSE:EICHERMOT
S3_both_filter,2025-06-18,10:45,EICHERMOT,5.0,3.7512399008358877,0.009837567607998525,0.012740538445427,up,True,0.024184476940382452,0.004968128983877015,5334.0,https://www.tradingview.com/chart/?symbol=NSE:EICHERMOT
S3_both_filter,2025-06-18,11:00,EICHERMOT,5.0,3.4276229851998323,0.009837567607998525,0.012253190473565127,up,True,0.024184476940382452,0.004968128983877015,5334.0,https://www.tradingview.com/chart/?symbol=NSE:EICHERMOT
S3_both_filter,2025-06-18,11:15,EICHERMOT,5.0,3.7452839601864287,0.009837567607998525,0.01219157636015568,up,True,0.024184476940382452,0.004968128983877015,5334.0,https://www.tradingview.com/chart/?symbol=NSE:EICHERMOT
S3_both_filter,2025-06-18,11:30,EICHERMOT,5.0,3.6120959445083027,0.009837567607998525,0.012271765854787368,up,True,0.024184476940382452,0.004968128983877015,5334.0,https://www.tradingview.com/chart/?symbol=NSE:EICHERMOT
S3_both_filter,2025-06-19,09:25,AMBER,4.0,2.3815434324329647,0.006331572889730417,0.008017738026476949,up,True,0.019049753473778575,0.043478260869565216,6693.0,https://www.tradingview.com/chart/?symbol=NSE:AMBER
S3_both_filter,2025-06-19,09:45,AMBER,1.0,3.3685814930226257,0.010493052092264343,0.009446846780209418,up,True,0.019049753473778575,0.043478260869565216,6693.0,https://www.tradingview.com/chart/?symbol=NSE:AMBER
S3_both_filter,2025-06-19,10:00,AMBER,2.0,3.1058118856833423,0.010493052092264343,0.008636593477896503,up,True,0.019049753473778575,0.043478260869565216,6693.0,https://www.tradingview.com/chart/?symbol=NSE:AMBER
S3_both_filter,2025-06-19,10:15,AMBER,3.0,3.16395915478718,0.010493052092264343,0.00633497006470054,down,True,0.019049753473778575,0.043478260869565216,6693.0,https://www.tradingview.com/chart/?symbol=NSE:AMBER
S3_both_filter,2025-06-19,10:30,AMBER,4.0,3.139383508124594,0.010493052092264343,0.00271215963356402,down,True,0.019049753473778575,0.043478260869565216,6693.0,https://www.tradingview.com/chart/?symbol=NSE:AMBER
S3_both_filter,2025-06-19,10:45,BIOCON,3.0,3.283732875310335,0.02456452111399333,0.010560017109084567,up,True,0.023177842565597635,0.0,343.0,https://www.tradingview.com/chart/?symbol=NSE:BIOCON
S3_both_filter,2025-06-19,11:00,BIOCON,3.0,3.2408519443054358,0.02456452111399333,0.01153791918064393,up,True,0.023177842565597635,0.0,343.0,https://www.tradingview.com/chart/?symbol=NSE:BIOCON
S3_both_filter,2025-06-19,11:15,SWIGGY,3.0,3.248875983251169,0.06429559908350048,0.033185178956246,up,True,0.05609655739953364,0.006720614456178819,364.55,https://www.tradingview.com/chart/?symbol=NSE:SWIGGY
S3_both_filter,2025-06-19,11:30,SWIGGY,3.0,3.381215166965001,0.06429559908350048,0.03477692213352445,up,True,0.05609655739953364,0.006720614456178819,364.55,https://www.tradingview.com/chart/?symbol=NSE:SWIGGY
S3_both_filter,2025-06-20,09:25,PFC,1.0,11.58767530718738,0.011595773924446948,0.009585603217029505,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S3_both_filter,2025-06-20,09:45,PFC,1.0,12.020200580029487,0.022414333642847322,0.015615444576734885,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S3_both_filter,2025-06-20,10:00,PFC,1.0,12.478596693892442,0.027714487399711833,0.019015024180002286,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S3_both_filter,2025-06-20,10:15,PFC,1.0,12.40685907973372,0.02852812771347614,0.020876804928811735,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S3_both_filter,2025-06-20,10:30,PFC,1.0,12.182031351721182,0.02852812771347614,0.0220214802841484,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S3_both_filter,2025-06-20,10:45,PFC,1.0,11.545406916985268,0.02852812771347614,0.02252655869694827,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S3_both_filter,2025-06-20,11:00,PFC,1.0,11.304427534210879,0.02852812771347614,0.022340586952187644,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S3_both_filter,2025-06-20,11:15,PFC,1.0,11.31803939278839,0.02852812771347614,0.022810060503350892,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S3_both_filter,2025-06-20,11:30,PFC,1.0,11.22798854872418,0.029024692063369245,0.02354419156877765,up,True,0.04140526976160602,0.0028858218318694537,398.5,https://www.tradingview.com/chart/?symbol=NSE:PFC
S3_both_filter,2025-06-23,09:25,BEL,3.0,3.641621362537537,0.00920519345086485,0.00987969571143342,up,True,0.02773722627737221,0.0047445255474452275,411.0,https://www.tradingview.com/chart/?symbol=NSE:BEL
S3_both_filter,2025-06-23,09:45,BHARATFORG,3.0,4.724552489165795,0.018077903126790227,0.012553017170812595,up,True,0.023449141243824086,0.0,1275.1,https://www.tradingview.com/chart/?symbol=NSE:BHARATFORG
S3_both_filter,2025-06-23,10:00,BHARATFORG,3.0,3.7018624207185487,0.01844749556758829,0.01378717300490912,up,True,0.023449141243824086,0.0,1275.1,https://www.tradingview.com/chart/?symbol=NSE:BHARATFORG
S3_both_filter,2025-06-23,10:15,BHARATFORG,3.0,4.866411065275418,0.01844749556758829,0.013381598626828507,up,True,0.023449141243824086,0.0,1275.1,https://www.tradingview.com/chart/?symbol=NSE:BHARATFORG
S3_both_filter,2025-06-23,10:30,BHARATFORG,2.0,4.565244207493342,0.01844749556758829,0.012318355075509331,up,True,0.023449141243824086,0.0,1275.1,https://www.tradingview.com/chart/?symbol=NSE:BHARATFORG
S3_both_filter,2025-06-23,10:45,BHARATFORG,2.0,4.6583803007176,0.01844749556758829,0.011936802043171163,up,True,0.023449141243824086,0.0,1275.1,https://www.tradingview.com/chart/?symbol=NSE:BHARATFORG
S3_both_filter,2025-06-23,11:00,BHARATFORG,2.0,4.30739651217282,0.01844749556758829,0.01181500124892404,up,True,0.023449141243824086,0.0,1275.1,https://www.tradingview.com/chart/?symbol=NSE:BHARATFORG
S3_both_filter,2025-06-23,11:15,BHARATFORG,2.0,4.080038247821965,0.01844749556758829,0.011365186815777832,up,True,0.023449141243824086,0.0,1275.1,https://www.tradingview.com/chart/?symbol=NSE:BHARATFORG
S3_both_filter,2025-06-23,11:30,BHARATFORG,2.0,3.873444559428557,0.01844749556758829,0.011181050491582622,up,True,0.023449141243824086,0.0,1275.1,https://www.tradingview.com/chart/?symbol=NSE:BHARATFORG
S3_both_filter,2025-06-24,09:25,PAGEIND,3.0,8.310699327325803,,0.010894574796037984,up,True,0.02277142240448953,0.011439671918843082,46330.0,https://www.tradingview.com/chart/?symbol=NSE:PAGEIND
S3_both_filter,2025-06-24,09:45,ULTRACEMCO,3.0,7.177098910489212,0.013360583813798394,0.011968366532066097,up,True,0.02292585863829051,0.003893070334804049,11559.0,https://www.tradingview.com/chart/?symbol=NSE:ULTRACEMCO
S3_both_filter,2025-06-24,10:00,ULTRACEMCO,3.0,5.854137837859968,0.013360583813798394,0.011990276032327028,up,True,0.02292585863829051,0.003893070334804049,11559.0,https://www.tradingview.com/chart/?symbol=NSE:ULTRACEMCO
S3_both_filter,2025-06-24,10:15,ULTRACEMCO,3.0,5.392254279661522,0.013360583813798394,0.012079458773709353,up,True,0.02292585863829051,0.003893070334804049,11559.0,https://www.tradingview.com/chart/?symbol=NSE:ULTRACEMCO
S3_both_filter,2025-06-24,10:30,ULTRACEMCO,4.0,5.067820651858675,0.013360583813798394,0.012121227567009235,up,True,0.02292585863829051,0.003893070334804049,11559.0,https://www.tradingview.com/chart/?symbol=NSE:ULTRACEMCO
S3_both_filter,2025-06-24,10:45,ULTRACEMCO,5.0,4.594966130289398,0.013360583813798394,0.012141366123531429,up,True,0.02292585863829051,0.003893070334804049,11559.0,https://www.tradingview.com/chart/?symbol=NSE:ULTRACEMCO
