method,checkpoint,n_total_picks,hit_rate,base_rate,lift,n_total_top5,hit_rate_top5,lift_top5,lift_delta_vs_B0,lift_delta_vs_B1
B0_R_alone,09:25,2480,0.730241935483871,0.3942493356529719,0.3359925998308991,1240,0.7879032258064517,0.39365389015347974,0.0,-0.024335957501280092
B0_R_alone,09:45,2480,0.7592741935483871,0.3942493356529719,0.3650248578954152,1240,0.8233870967741936,0.42913776112122165,0.0,-0.04069700460829495
B0_R_alone,10:00,2480,0.7685483870967742,0.3942493356529719,0.3742990514438023,1240,0.825,0.43075066434702813,0.0,-0.045873335893497125
B0_R_alone,10:15,2480,0.7814516129032258,0.3942493356529719,0.3872022772502539,1240,0.8290322580645161,0.43478292241154426,0.0,-0.0492943548387097
B0_R_alone,10:30,2480,0.7842741935483871,0.3942493356529719,0.39002485789541524,1240,0.8443548387096774,0.45010550305670555,0.0,-0.05739727342549922
B0_R_alone,10:45,2480,0.7907258064516128,0.3942493356529719,0.396476470798641,1240,0.8419354838709678,0.44768614821799585,0.0,-0.05734286994367638
B0_R_alone,11:00,2480,0.7963709677419355,0.3942493356529719,0.4021216320889636,1240,0.8516129032258064,0.45736356757283453,0.0,-0.058531746031746046
B0_R_alone,11:15,2480,0.7995967741935485,0.3942493356529719,0.40534743854057653,1240,0.8532258064516128,0.458976470798641,0.0,-0.06316244239631336
B0_R_alone,11:30,2480,0.802016129032258,0.3942493356529719,0.40776679337928623,1240,0.8532258064516128,0.458976470798641,0.0,-0.06467613927291338
B1_R_filterA,09:25,2122,0.754577892985151,0.3942493356529719,0.36032855733217917,1239,0.798991935483871,0.40474259983089905,0.024335957501280092,0.0
B1_R_filterA,09:45,1931,0.799971198156682,0.3942493356529719,0.4057218625037102,1236,0.8445564516129033,0.45030711595993134,0.04069700460829495,0.0
B1_R_filterA,10:00,1859,0.8144217229902714,0.3942493356529719,0.42017238733729945,1231,0.8504704301075269,0.456221094454555,0.045873335893497125,0.0
B1_R_filterA,10:15,1832,0.8307459677419355,0.3942493356529719,0.4364966320889636,1230,0.8534946236559139,0.45924528800294206,0.0492943548387097,0.0
B1_R_filterA,10:30,1783,0.8416714669738863,0.3942493356529719,0.44742213132091446,1224,0.8594758064516129,0.465226470798641,0.05739727342549922,0.0
B1_R_filterA,10:45,1763,0.8480686763952893,0.3942493356529719,0.4538193407423174,1226,0.8641801075268817,0.46993077187390986,0.05734286994367638,0.0
B1_R_filterA,11:00,1727,0.8549027137736815,0.3942493356529719,0.46065337812070967,1222,0.8787634408602151,0.48451410520724314,0.058531746031746046,0.0
B1_R_filterA,11:15,1688,0.8627592165898618,0.3942493356529719,0.4685098809368899,1215,0.8772849462365592,0.48303561058358724,0.06316244239631336,0.0
