,value
n_trades,213.0
no_trade_days,36.0
expectancy_R,0.1368446428399876
total_R,29.147908924917356
win_rate,0.3427230046948357
avg_win_R,2.021390185331025
avg_loss_R,-0.9706030705266185
pct_target,0.1784037558685446
pct_stop,0.5539906103286385
pct_breakeven,0.07981220657276995
pct_time,0.18779342723004694
n_breakeven,17.0
time_close_mean_R,0.7786977231229338
max_drawdown_R,15.111182934712357
max_dd_duration_trades,33.0
longest_losing_streak,10.0
avg_stop_dist_pct,0.00491057867937977
n_long,130.0
n_short,83.0
n_tie_stopfirst,3.0
