,value
n_trades,234.0
no_trade_days,15.0
expectancy_R,0.15216270732208803
total_R,35.6060735133686
win_rate,0.3547008547008547
avg_win_R,1.9175587837444432
avg_loss_R,-0.9652445745110954
pct_target,0.16666666666666666
pct_stop,0.5213675213675214
pct_breakeven,0.09401709401709402
pct_time,0.21794871794871795
n_breakeven,22.0
time_close_mean_R,0.756981833595463
max_drawdown_R,14.660212698225562
max_dd_duration_trades,48.0
longest_losing_streak,7.0
avg_stop_dist_pct,0.004996152391304541
n_long,142.0
n_short,92.0
n_tie_stopfirst,1.0
