metric,n,mean,std,p5,p10,p25,p50,p75,p90,p95,p99
atr_ratio,3978,0.9211793226280108,0.5359540769733744,0.34209629085948345,0.4113355352350552,0.5577485052193489,0.7932785183259535,1.1341331591427255,1.584713031771358,1.8985578494175186,2.89529906609921
range_ratio,3978,1.0063012162489153,0.6239773230983443,0.3474658261032399,0.4196712921620553,0.5930844455113193,0.8557993076180428,1.2369572651266938,1.7635811590389383,2.162585830165913,3.2995512566969665
stop_dist_swing_wick_pct,3705,0.008934844134847044,0.007048723731981107,0.002315950677263513,0.0030227483516572654,0.004400924194080757,0.006892786460110495,0.011278195488721804,0.017179158334760098,0.02212089380650952,0.03685331655697506
stop_dist_swing_body_pct,3705,0.005198213304200947,0.005647910955504523,0.00035418170539870995,0.0006901457137064602,0.0016964487672471327,0.0035516699678982437,0.006646630447347127,0.011376579068295214,0.015629610280401034,0.02820866932641284
stop_dist_thirdback_pct,3978,0.005249543739291016,0.004090009214655104,0.0011757688660006059,0.0016370054949506347,0.002558784667497197,0.00425799964301762,0.006662821474063451,0.009959610542999703,0.012760591806276473,0.02044974555022521
stop_dist_bocandle_pct,3978,0.0032436302918542868,0.0025651933164844163,0.0006652498655213861,0.0008961020865369209,0.001513502330572462,0.0025859794377218184,0.004235704037712687,0.006210901161028816,0.008029377394271541,0.012992588727244325
