date,swing_K,symbol,direction,gov_checkpoint,rank_at_cp,trigger_time,entry_price,level_price,atr_ratio,pos_vs_open,stop_price,stop_source,stop_dist_pct,qual_huge,qual_stop,filterA_ok,rolling_ok,R_unit,target_price,be_price,exit_time,exit_price,exit_reason,realized_R,tie_stopfirst
2025-06-30,3,360ONE,short,10:15,4,10:20,1191.35,1191.45,0.47161734651438947,below,1197.45,third_back,0.005120241742561075,True,True,True,True,6.100000000000136,1173.0499999999995,1179.1499999999996,10:55,1191.35,breakeven,-0.0,False
2025-07-01,3,IDFCFIRSTB,long,10:30,3,10:35,75.2,74.99,1.1003924150948428,above,74.6,third_back,0.007978723404255433,True,True,True,True,0.6000000000000085,77.00000000000003,76.40000000000002,13:50,77.00000000000003,target,3.0,False
2025-07-02,3,SBICARD,short,09:45,4,09:45,909.2,909.45,0.48609284336989755,below,910.0,third_back,0.0008798944126704295,True,True,True,True,0.7999999999999545,906.8000000000002,907.6000000000001,09:50,910.0,stop,-1.0,False
2025-07-03,3,BLUESTARCO,long,10:30,3,10:30,1830.0,1827.3,0.9296537976565173,above,1822.4,third_back,0.004153005464480825,True,True,True,True,7.599999999999909,1852.7999999999997,1845.1999999999998,12:40,1830.0,breakeven,0.0,False
2025-07-04,3,BOSCHLTD,long,10:15,1,10:20,35695.0,35670.0,0.8724368362434685,above,35420.0,third_back,0.007704160246533128,True,True,True,True,275.0,36520.0,36245.0,11:40,35420.0,stop,-1.0,False
2025-07-07,3,DABUR,long,10:00,2,10:00,513.1,512.35,1.0763676478191875,above,509.45,third_back,0.00711362307542396,True,True,True,True,3.650000000000034,524.0500000000002,520.4000000000001,15:00,513.0,time,-0.027397260273978576,False
2025-07-08,3,TITAN,short,10:45,1,10:45,3467.2,3471.7,0.8385380372741612,below,3479.9,third_back,0.0036628980156899727,True,True,True,True,12.700000000000273,3429.099999999999,3441.7999999999993,11:35,3479.9,stop,-1.0,False
2025-07-09,3,PHOENIXLTD,short,10:00,4,10:05,1508.3,1511.2,1.18101132662495,below,1519.0,third_back,0.007094079427169692,True,True,True,True,10.700000000000045,1476.1999999999998,1486.8999999999999,10:15,1519.0,stop,-1.0,False
2025-07-10,3,GLENMARK,long,10:15,3,10:20,1863.8,1862.8,0.8508025189135136,above,1856.7,third_back,0.0038094216117608697,True,True,True,True,7.099999999999909,1885.0999999999997,1877.9999999999998,11:30,1885.0999999999997,target,3.0,False
2025-07-11,3,TCS,long,10:15,4,10:25,3312.0,3311.7,0.5537840832701024,above,3305.4,swing_body,0.0019927536231883784,True,True,True,True,6.599999999999909,3331.7999999999997,3325.2,10:40,3305.4,stop,-1.0,False
2025-07-14,3,SONACOMS,short,09:45,4,09:50,447.75,448.35,0.8230515081695114,below,450.0,third_back,0.005025125628140704,True,True,True,True,2.25,441.0,443.25,10:10,450.0,stop,-1.0,False
2025-07-15,3,GODFRYPHLP,long,10:00,2,10:10,3189.0,3186.0,1.0453938456332759,above,3170.0,third_back,0.005957980558168705,True,True,True,True,19.0,3246.0,3227.0,10:15,3170.0,stop,-1.0,False
2025-07-16,3,ICICIPRULI,long,10:00,3,10:05,657.95,656.2,1.0004247916366278,below,653.9,third_back,0.006155482939433191,True,True,True,True,4.050000000000068,670.1000000000003,666.0500000000002,10:40,653.9,stop,-1.0,False
2025-07-17,3,TECHM,long,11:00,3,11:10,1584.4,1583.0,0.6842216582614282,above,1579.0,third_back,0.003408230244887712,True,True,True,True,5.400000000000091,1600.6000000000004,1595.2000000000003,11:25,1579.0,stop,-1.0,False
2025-07-18,3,AXISBANK,long,10:00,1,10:05,1115.1,1114.6,0.6543723272697355,above,1112.5,third_back,0.0023316294502734366,True,True,True,True,2.599999999999909,1122.8999999999996,1120.2999999999997,10:20,1112.5,stop,-1.0,False
2025-07-21,3,JSWSTEEL,long,09:45,3,09:50,1027.8,1026.8,0.4299551098600443,below,1021.3,third_back,0.0063241875851332945,True,True,True,True,6.5,1047.3,1040.8,15:00,1032.1,time,0.6615384615384545,False
2025-07-22,3,ETERNAL,long,11:30,2,11:40,297.05,295.95,0.999303349029033,above,294.3,swing_body,0.009257700723783874,True,True,True,True,2.75,305.3,302.55,13:00,305.3,target,3.0,False
2025-07-23,3,LODHA,short,10:30,1,10:35,1351.8,1356.0,1.010479198752322,below,1357.9,swing_body,0.004512501849386105,True,True,True,True,6.100000000000136,1333.4999999999995,1339.5999999999997,11:05,1357.9,stop,-1.0,False
2025-07-24,3,TATACONSUM,short,10:00,1,10:05,1071.1,1071.2,0.5191287143032353,below,1076.0,third_back,0.0045747362524508365,True,True,True,True,4.900000000000091,1056.3999999999996,1061.2999999999997,10:25,1076.0,stop,-1.0,False
2025-07-25,3,PHOENIXLTD,long,11:45,2,11:55,1533.3,1532.4,1.0774745321196377,above,1519.0,third_back,0.009326289701950013,True,True,True,True,14.299999999999955,1576.1999999999998,1561.8999999999999,15:00,1526.3,time,-0.4895104895104911,False
2025-07-28,3,KOTAKBANK,short,10:30,1,10:40,397.5,397.6,0.38349538851579046,below,398.6,swing_body,0.002767295597484334,True,True,True,True,1.1000000000000227,394.19999999999993,395.29999999999995,11:15,398.6,stop,-1.0,False
2025-07-29,3,TORNTPHARM,long,11:15,2,11:20,3748.8,3745.0,1.703411575747147,above,3731.7,third_back,0.0045614596670935665,True,True,True,True,17.100000000000364,3800.1000000000013,3783.000000000001,14:00,3748.8,breakeven,0.0,False
2025-07-30,3,BANKINDIA,long,10:45,4,10:50,111.9,111.69,0.8050418596569459,above,111.28,swing_body,0.005540661304736412,True,True,True,True,0.6200000000000045,113.76000000000002,113.14000000000001,13:45,111.28,stop,-1.0,False
2025-07-31,3,JIOFIN,long,11:00,3,11:00,329.8,329.7,0.9076982727579929,above,328.55,third_back,0.003790175864160097,True,True,True,True,1.25,333.55,332.3,11:35,328.55,stop,-1.0,False
2025-08-01,3,RADICO,long,10:15,2,10:20,2879.4,2866.1,1.7844489784634356,above,2858.9,third_back,0.007119538792804056,True,True,True,True,20.5,2940.9,2920.4,11:45,2879.4,breakeven,0.0,False
2025-08-04,3,DELHIVERY,long,10:30,3,10:30,452.5,451.15,0.7625036381653691,above,450.0,third_back,0.0055248618784530384,True,True,True,True,2.5,460.0,457.5,14:55,460.0,target,3.0,False
2025-08-05,3,GODFRYPHLP,long,11:00,3,11:05,3286.0,3279.0,0.8462019849933982,above,3273.0,swing_body,0.003956177723676202,True,True,True,True,13.0,3325.0,3312.0,15:00,3294.0,time,0.6153846153846154,False
2025-08-06,3,BRITANNIA,short,10:30,3,10:35,5504.0,5517.5,1.8494268741616462,below,5540.0,third_back,0.006540697674418605,True,True,True,True,36.0,5396.0,5432.0,12:05,5396.0,target,3.0,False
2025-08-07,3,KOTAKBANK,long,10:30,3,10:30,396.4,396.3,0.5214542556049436,above,395.5,swing_body,0.0022704339051462597,True,True,True,True,0.8999999999999773,399.0999999999999,398.19999999999993,15:00,398.1,time,1.8888888888889872,False
2025-08-08,3,LICI,short,10:00,3,10:10,458.0,458.2,1.7328048823788655,above,459.6,third_back,0.003493449781659438,True,True,True,True,1.6000000000000227,453.19999999999993,454.79999999999995,10:25,459.6,stop,-1.0,False
2025-08-11,3,MANAPPURAM,short,11:30,3,11:30,262.75,262.8,1.0080289175563835,above,264.15,third_back,0.005328258801141683,True,True,True,True,1.3999999999999773,258.55000000000007,259.95000000000005,14:10,258.55000000000007,target,3.0,False
2025-08-12,3,ASTRAL,short,11:00,1,11:05,1282.2,1283.6,0.7238459987484158,below,1291.0,third_back,0.0068632038683512355,True,True,True,True,8.799999999999955,1255.8000000000002,1264.6000000000001,15:00,1269.7,time,1.4204545454545527,False
2025-08-13,3,NYKAA,short,10:00,2,10:10,211.1,211.94,0.386368231105929,below,212.7,third_back,0.007579346281383204,True,True,True,True,1.5999999999999943,206.3,207.9,10:20,212.7,stop,-1.0,False
2025-08-14,3,MUTHOOTFIN,long,09:45,1,09:45,2768.0,2763.9,0.46402922975708777,above,2760.0,third_back,0.002890173410404624,True,True,True,True,8.0,2792.0,2784.0,09:50,2760.0,stop,-1.0,False
2025-08-18,3,MARUTI,long,10:30,3,10:30,13900.0,13890.0,0.589508719063317,above,13859.0,third_back,0.002949640287769784,True,True,True,True,41.0,14023.0,13982.0,11:15,14023.0,target,3.0,False
2025-08-19,3,VEDL,long,10:15,4,10:15,226.65,226.35,0.8491050020010823,above,225.9,third_back,0.0033090668431502318,True,True,True,True,0.75,228.9,228.15,15:00,227.1,time,0.5999999999999849,False
2025-08-20,3,INDHOTEL,long,10:00,3,10:10,796.95,795.7,1.2040485334929314,above,792.9,third_back,0.005081874647092124,True,True,True,True,4.050000000000068,809.1000000000003,805.0500000000002,13:00,809.1000000000003,target,3.0,False
2025-08-21,3,NUVAMA,long,10:15,4,10:15,1421.5,1417.0,1.4150428817332115,above,1414.0,third_back,0.005276116778051354,True,True,True,True,7.5,1444.0,1436.5,10:55,1414.0,stop,-1.0,False
2025-08-22,3,WIPRO,short,10:15,2,10:15,241.75,241.85,0.8176229264144441,below,242.05,third_back,0.0012409513960703676,True,True,True,True,0.30000000000001137,240.84999999999997,241.14999999999998,10:20,242.05,stop,-1.0,False
2025-08-25,3,YESBANK,short,09:45,1,09:45,19.71,19.74,0.5772828869268245,below,19.79,third_back,0.00405885337392178,True,True,True,True,0.0799999999999983,19.470000000000006,19.550000000000004,10:40,19.79,stop,-1.0,False
2025-08-26,3,IDEA,short,10:30,2,10:40,6.63,6.64,0.7464441129535755,below,6.66,third_back,0.004524886877828092,True,True,True,True,0.03000000000000025,6.539999999999999,6.569999999999999,10:45,6.66,stop,-1.0,False
2025-08-28,3,MAXHEALTH,short,09:45,3,09:45,1154.5,1157.8,1.161121540460447,below,1159.9,third_back,0.0046773495019489745,True,True,True,True,5.400000000000091,1138.2999999999997,1143.6999999999998,10:10,1159.9,stop,-1.0,False
2025-08-29,3,RBLBANK,long,10:15,1,10:20,262.1,261.5,1.2070868729424915,above,260.35,third_back,0.006676840900419687,True,True,True,True,1.75,267.35,265.6,11:40,267.35,target,3.0,False
2025-09-01,3,PREMIERENE,long,10:00,3,10:10,1019.9,1019.6,1.0973346955807708,above,1013.0,third_back,0.00676536915383859,True,True,True,True,6.899999999999977,1040.6,1033.6999999999998,10:40,1013.0,stop,-1.0,False
2025-09-02,3,PHOENIXLTD,long,12:15,2,12:25,1571.5,1568.4,1.7385446182452209,above,1565.0,third_back,0.004136175628380528,True,True,True,True,6.5,1591.0,1584.5,13:20,1565.0,stop,-1.0,False
2025-09-03,3,NATIONALUM,long,10:00,2,10:00,205.41,205.3,0.6456353843415824,above,204.09,third_back,0.006426172046151566,True,True,True,True,1.3199999999999932,209.36999999999998,208.04999999999998,12:55,205.41,breakeven,0.0,False
2025-09-04,3,AMBUJACEM,short,10:30,4,10:40,570.5,570.9,0.45310994701975643,below,571.65,third_back,0.0020157756354074975,True,True,True,True,1.1499999999999773,567.0500000000001,568.2,10:45,571.65,stop,-1.0,False
2025-09-05,3,DALBHARAT,long,10:45,1,10:45,2411.1,2410.9,0.2637137702306527,above,2405.1,third_back,0.0024884907303720297,True,True,True,True,6.0,2429.1,2423.1,11:50,2411.1,breakeven,0.0,False
